value,value_classification,time_until_update,date
34,Fear,51122,2024-08-04
37,Fear,,2024-08-03
57,Greed,,2024-08-02
52,Neutral,,2024-08-01
61,Greed,,2024-07-31
67,Greed,,2024-07-30
74,Greed,,2024-07-29
71,Greed,,2024-07-28
72,Greed,,2024-07-27
68,Greed,,2024-07-26
68,Greed,,2024-07-25
69,Greed,,2024-07-24
71,Greed,,2024-07-23
70,Greed,,2024-07-22
74,Greed,,2024-07-21
74,Greed,,2024-07-20
60,Greed,,2024-07-19
61,Greed,,2024-07-18
69,Greed,,2024-07-17
65,Greed,,2024-07-16
52,Neutral,,2024-07-15
33,Fear,,2024-07-14
25,Extreme Fear,,2024-07-13
25,Extreme Fear,,2024-07-12
29,Fear,,2024-07-11
28,Fear,,2024-07-10
27,Fear,,2024-07-09
28,Fear,,2024-07-08
29,Fear,,2024-07-07
26,Fear,,2024-07-06
29,Fear,,2024-07-05
44,Fear,,2024-07-04
50,Neutral,,2024-07-03
51,Neutral,,2024-07-02
53,Neutral,,2024-07-01
47,Neutral,,2024-06-30
30,Fear,,2024-06-29
47,Neutral,,2024-06-28
40,Fear,,2024-06-27
46,Fear,,2024-06-26
30,Fear,,2024-06-25
51,Neutral,,2024-06-24
55,Greed,,2024-06-23
53,Neutral,,2024-06-22
63,Greed,,2024-06-21
60,Greed,,2024-06-20
64,Greed,,2024-06-19
74,Greed,,2024-06-18
71,Greed,,2024-06-17
71,Greed,,2024-06-16
74,Greed,,2024-06-15
74,Greed,,2024-06-14
70,Greed,,2024-06-13
72,Greed,,2024-06-12
74,Greed,,2024-06-11
72,Greed,,2024-06-10
75,Greed,,2024-06-09
72,Greed,,2024-06-08
77,Extreme Greed,,2024-06-07
78,Extreme Greed,,2024-06-06
75,Greed,,2024-06-05
73,Greed,,2024-06-04
73,Greed,,2024-06-03
73,Greed,,2024-06-02
72,Greed,,2024-06-01
73,Greed,,2024-05-31
73,Greed,,2024-05-30
72,Greed,,2024-05-29
72,Greed,,2024-05-28
74,Greed,,2024-05-27
75,Greed,,2024-05-26
76,Extreme Greed,,2024-05-25
74,Greed,,2024-05-24
76,Extreme Greed,,2024-05-23
76,Extreme Greed,,2024-05-22
76,Extreme Greed,,2024-05-21
70,Greed,,2024-05-20
72,Greed,,2024-05-19
73,Greed,,2024-05-18
74,Greed,,2024-05-17
70,Greed,,2024-05-16
64,Greed,,2024-05-15
66,Greed,,2024-05-14
57,Greed,,2024-05-13
56,Greed,,2024-05-12
53,Neutral,,2024-05-11
66,Greed,,2024-05-10
55,Greed,,2024-05-09
64,Greed,,2024-05-08
68,Greed,,2024-05-07
71,Greed,,2024-05-06
69,Greed,,2024-05-05
67,Greed,,2024-05-04
48,Neutral,,2024-05-03
43,Fear,,2024-05-02
54,Neutral,,2024-05-01
67,Greed,,2024-04-30
67,Greed,,2024-04-29
65,Greed,,2024-04-28
67,Greed,,2024-04-27
70,Greed,,2024-04-26
72,Greed,,2024-04-25
72,Greed,,2024-04-24
71,Greed,,2024-04-23
73,Greed,,2024-04-22
72,Greed,,2024-04-21
66,Greed,,2024-04-20
66,Greed,,2024-04-19
57,Greed,,2024-04-18
67,Greed,,2024-04-17
65,Greed,,2024-04-16
74,Greed,,2024-04-15
72,Greed,,2024-04-14
72,Greed,,2024-04-13
79,Extreme Greed,,2024-04-12
76,Extreme Greed,,2024-04-11
78,Extreme Greed,,2024-04-10
80,Extreme Greed,,2024-04-09
76,Extreme Greed,,2024-04-08
78,Extreme Greed,,2024-04-07
75,Greed,,2024-04-06
79,Extreme Greed,,2024-04-05
70,Greed,,2024-04-04
71,Greed,,2024-04-03
79,Extreme Greed,,2024-04-02
79,Extreme Greed,,2024-04-01
75,Greed,,2024-03-31
75,Greed,,2024-03-30
79,Extreme Greed,,2024-03-29
80,Extreme Greed,,2024-03-28
83,Extreme Greed,,2024-03-27
81,Extreme Greed,,2024-03-26
75,Greed,,2024-03-25
74,Greed,,2024-03-24
73,Greed,,2024-03-23
75,Greed,,2024-03-22
78,Extreme Greed,,2024-03-21
74,Greed,,2024-03-20
79,Extreme Greed,,2024-03-19
77,Extreme Greed,,2024-03-18
79,Extreme Greed,,2024-03-17
81,Extreme Greed,,2024-03-16
83,Extreme Greed,,2024-03-15
88,Extreme Greed,,2024-03-14
81,Extreme Greed,,2024-03-13
81,Extreme Greed,,2024-03-12
82,Extreme Greed,,2024-03-11
79,Extreme Greed,,2024-03-10
84,Extreme Greed,,2024-03-09
81,Extreme Greed,,2024-03-08
82,Extreme Greed,,2024-03-07
75,Greed,,2024-03-06
90,Extreme Greed,,2024-03-05
82,Extreme Greed,,2024-03-04
83,Extreme Greed,,2024-03-03
80,Extreme Greed,,2024-03-02
80,Extreme Greed,,2024-03-01
80,Extreme Greed,,2024-02-29
82,Extreme Greed,,2024-02-28
79,Extreme Greed,,2024-02-27
72,Greed,,2024-02-26
74,Greed,,2024-02-25
72,Greed,,2024-02-24
76,Extreme Greed,,2024-02-23
74,Greed,,2024-02-22
78,Extreme Greed,,2024-02-21
72,Greed,,2024-02-20
75,Greed,,2024-02-19
72,Greed,,2024-02-18
76,Extreme Greed,,2024-02-17
72,Greed,,2024-02-16
72,Greed,,2024-02-15
74,Greed,,2024-02-14
79,Extreme Greed,,2024-02-13
70,Greed,,2024-02-12
71,Greed,,2024-02-11
74,Greed,,2024-02-10
72,Greed,,2024-02-09
66,Greed,,2024-02-08
62,Greed,,2024-02-07
64,Greed,,2024-02-06
60,Greed,,2024-02-05
60,Greed,,2024-02-04
60,Greed,,2024-02-03
63,Greed,,2024-02-02
63,Greed,,2024-02-01
60,Greed,,2024-01-31
61,Greed,,2024-01-30
55,Greed,,2024-01-29
54,Neutral,,2024-01-28
55,Greed,,2024-01-27
49,Neutral,,2024-01-26
52,Neutral,,2024-01-25
48,Neutral,,2024-01-24
50,Neutral,,2024-01-23
55,Greed,,2024-01-22
56,Greed,,2024-01-21
52,Neutral,,2024-01-20
51,Neutral,,2024-01-19
63,Greed,,2024-01-18
60,Greed,,2024-01-17
64,Greed,,2024-01-16
52,Neutral,,2024-01-15
60,Greed,,2024-01-14
64,Greed,,2024-01-13
71,Greed,,2024-01-12
76,Extreme Greed,,2024-01-11
73,Greed,,2024-01-10
76,Extreme Greed,,2024-01-09
71,Greed,,2024-01-08
71,Greed,,2024-01-07
70,Greed,,2024-01-06
72,Greed,,2024-01-05
68,Greed,,2024-01-04
70,Greed,,2024-01-03
71,Greed,,2024-01-02
65,Greed,,2024-01-01
67,Greed,,2023-12-31
68,Greed,,2023-12-30
65,Greed,,2023-12-29
73,Greed,,2023-12-28
73,Greed,,2023-12-27
71,Greed,,2023-12-26
73,Greed,,2023-12-25
71,Greed,,2023-12-24
70,Greed,,2023-12-23
74,Greed,,2023-12-22
70,Greed,,2023-12-21
74,Greed,,2023-12-20
73,Greed,,2023-12-19
65,Greed,,2023-12-18
73,Greed,,2023-12-17
67,Greed,,2023-12-16
70,Greed,,2023-12-15
72,Greed,,2023-12-14
65,Greed,,2023-12-13
67,Greed,,2023-12-12
74,Greed,,2023-12-11
74,Greed,,2023-12-10
73,Greed,,2023-12-09
72,Greed,,2023-12-08
72,Greed,,2023-12-07
72,Greed,,2023-12-06
75,Greed,,2023-12-05
74,Greed,,2023-12-04
73,Greed,,2023-12-03
74,Greed,,2023-12-02
71,Greed,,2023-12-01
74,Greed,,2023-11-30
72,Greed,,2023-11-29
68,Greed,,2023-11-28
66,Greed,,2023-11-27
73,Greed,,2023-11-26
73,Greed,,2023-11-25
66,Greed,,2023-11-24
66,Greed,,2023-11-23
62,Greed,,2023-11-22
71,Greed,,2023-11-21
69,Greed,,2023-11-20
66,Greed,,2023-11-19
69,Greed,,2023-11-18
63,Greed,,2023-11-17
70,Greed,,2023-11-16
60,Greed,,2023-11-15
69,Greed,,2023-11-14
72,Greed,,2023-11-13
73,Greed,,2023-11-12
70,Greed,,2023-11-11
70,Greed,,2023-11-10
69,Greed,,2023-11-09
66,Greed,,2023-11-08
68,Greed,,2023-11-07
74,Greed,,2023-11-06
70,Greed,,2023-11-05
68,Greed,,2023-11-04
65,Greed,,2023-11-03
72,Greed,,2023-11-02
66,Greed,,2023-11-01
66,Greed,,2023-10-31
68,Greed,,2023-10-30
72,Greed,,2023-10-29
65,Greed,,2023-10-28
70,Greed,,2023-10-27
71,Greed,,2023-10-26
72,Greed,,2023-10-25
66,Greed,,2023-10-24
53,Neutral,,2023-10-23
53,Neutral,,2023-10-22
63,Greed,,2023-10-21
53,Neutral,,2023-10-20
52,Neutral,,2023-10-19
50,Neutral,,2023-10-18
52,Neutral,,2023-10-17
47,Neutral,,2023-10-16
45,Fear,,2023-10-15
47,Neutral,,2023-10-14
44,Fear,,2023-10-13
45,Fear,,2023-10-12
47,Neutral,,2023-10-11
50,Neutral,,2023-10-10
50,Neutral,,2023-10-09
50,Neutral,,2023-10-08
49,Neutral,,2023-10-07
50,Neutral,,2023-10-06
48,Neutral,,2023-10-05
49,Neutral,,2023-10-04
50,Neutral,,2023-10-03
50,Neutral,,2023-10-02
48,Neutral,,2023-10-01
47,Neutral,,2023-09-30
48,Neutral,,2023-09-29
46,Fear,,2023-09-28
44,Fear,,2023-09-27
46,Fear,,2023-09-26
47,Neutral,,2023-09-25
44,Fear,,2023-09-24
47,Neutral,,2023-09-23
43,Fear,,2023-09-22
47,Neutral,,2023-09-21
47,Neutral,,2023-09-20
46,Fear,,2023-09-19
46,Fear,,2023-09-18
46,Fear,,2023-09-17
43,Fear,,2023-09-16
45,Fear,,2023-09-15
45,Fear,,2023-09-14
41,Fear,,2023-09-13
30,Fear,,2023-09-12
40,Fear,,2023-09-11
40,Fear,,2023-09-10
41,Fear,,2023-09-09
46,Fear,,2023-09-08
41,Fear,,2023-09-07
42,Fear,,2023-09-06
40,Fear,,2023-09-05
40,Fear,,2023-09-04
40,Fear,,2023-09-03
39,Fear,,2023-09-02
40,Fear,,2023-09-01
52,Neutral,,2023-08-31
49,Neutral,,2023-08-30
39,Fear,,2023-08-29
39,Fear,,2023-08-28
38,Fear,,2023-08-27
38,Fear,,2023-08-26
39,Fear,,2023-08-25
41,Fear,,2023-08-24
37,Fear,,2023-08-23
37,Fear,,2023-08-22
38,Fear,,2023-08-21
37,Fear,,2023-08-20
39,Fear,,2023-08-19
37,Fear,,2023-08-18
50,Neutral,,2023-08-17
52,Neutral,,2023-08-16
53,Neutral,,2023-08-15
50,Neutral,,2023-08-14
54,Neutral,,2023-08-13
54,Neutral,,2023-08-12
51,Neutral,,2023-08-11
53,Neutral,,2023-08-10
50,Neutral,,2023-08-09
54,Neutral,,2023-08-08
49,Neutral,,2023-08-07
49,Neutral,,2023-08-06
50,Neutral,,2023-08-05
54,Neutral,,2023-08-04
52,Neutral,,2023-08-03
53,Neutral,,2023-08-02
53,Neutral,,2023-08-01
50,Neutral,,2023-07-31
52,Neutral,,2023-07-30
52,Neutral,,2023-07-29
52,Neutral,,2023-07-28
51,Neutral,,2023-07-27
51,Neutral,,2023-07-26
50,Neutral,,2023-07-25
55,Greed,,2023-07-24
54,Neutral,,2023-07-23
52,Neutral,,2023-07-22
50,Neutral,,2023-07-21
56,Greed,,2023-07-20
50,Neutral,,2023-07-19
56,Greed,,2023-07-18
54,Neutral,,2023-07-17
57,Greed,,2023-07-16
56,Greed,,2023-07-15
60,Greed,,2023-07-14
57,Greed,,2023-07-13
64,Greed,,2023-07-12
57,Greed,,2023-07-11
56,Greed,,2023-07-10
55,Greed,,2023-07-09
58,Greed,,2023-07-08
55,Greed,,2023-07-07
56,Greed,,2023-07-06
61,Greed,,2023-07-05
64,Greed,,2023-07-04
62,Greed,,2023-07-03
63,Greed,,2023-07-02
59,Greed,,2023-07-01
56,Greed,,2023-06-30
54,Neutral,,2023-06-29
62,Greed,,2023-06-28
59,Greed,,2023-06-27
55,Greed,,2023-06-26
64,Greed,,2023-06-25
62,Greed,,2023-06-24
65,Greed,,2023-06-23
65,Greed,,2023-06-22
59,Greed,,2023-06-21
49,Neutral,,2023-06-20
47,Neutral,,2023-06-19
49,Neutral,,2023-06-18
47,Neutral,,2023-06-17
47,Neutral,,2023-06-16
41,Fear,,2023-06-15
46,Fear,,2023-06-14
45,Fear,,2023-06-13
47,Neutral,,2023-06-12
47,Neutral,,2023-06-11
49,Neutral,,2023-06-10
50,Neutral,,2023-06-09
50,Neutral,,2023-06-08
53,Neutral,,2023-06-07
44,Fear,,2023-06-06
53,Neutral,,2023-06-05
52,Neutral,,2023-06-04
53,Neutral,,2023-06-03
50,Neutral,,2023-06-02
52,Neutral,,2023-06-01
51,Neutral,,2023-05-31
51,Neutral,,2023-05-30
52,Neutral,,2023-05-29
50,Neutral,,2023-05-28
48,Neutral,,2023-05-27
49,Neutral,,2023-05-26
51,Neutral,,2023-05-25
50,Neutral,,2023-05-24
50,Neutral,,2023-05-23
49,Neutral,,2023-05-22
52,Neutral,,2023-05-21
48,Neutral,,2023-05-20
48,Neutral,,2023-05-19
51,Neutral,,2023-05-18
50,Neutral,,2023-05-17
54,Neutral,,2023-05-16
50,Neutral,,2023-05-15
48,Neutral,,2023-05-14
48,Neutral,,2023-05-13
49,Neutral,,2023-05-12
52,Neutral,,2023-05-11
52,Neutral,,2023-05-10
51,Neutral,,2023-05-09
60,Greed,,2023-05-08
64,Greed,,2023-05-07
60,Greed,,2023-05-06
61,Greed,,2023-05-05
64,Greed,,2023-05-04
64,Greed,,2023-05-03
55,Greed,,2023-05-02
63,Greed,,2023-05-01
60,Greed,,2023-04-30
64,Greed,,2023-04-29
64,Greed,,2023-04-28
59,Greed,,2023-04-27
56,Greed,,2023-04-26
53,Neutral,,2023-04-25
53,Neutral,,2023-04-24
56,Greed,,2023-04-23
53,Neutral,,2023-04-22
50,Neutral,,2023-04-21
52,Neutral,,2023-04-20
63,Greed,,2023-04-19
58,Greed,,2023-04-18
69,Greed,,2023-04-17
68,Greed,,2023-04-16
68,Greed,,2023-04-15
68,Greed,,2023-04-14
61,Greed,,2023-04-13
65,Greed,,2023-04-12
68,Greed,,2023-04-11
62,Greed,,2023-04-10
61,Greed,,2023-04-09
61,Greed,,2023-04-08
64,Greed,,2023-04-07
63,Greed,,2023-04-06
62,Greed,,2023-04-05
62,Greed,,2023-04-04
63,Greed,,2023-04-03
63,Greed,,2023-04-02
61,Greed,,2023-04-01
63,Greed,,2023-03-31
60,Greed,,2023-03-30
57,Greed,,2023-03-29
59,Greed,,2023-03-28
64,Greed,,2023-03-27
64,Greed,,2023-03-26
64,Greed,,2023-03-25
61,Greed,,2023-03-24
57,Greed,,2023-03-23
62,Greed,,2023-03-22
68,Greed,,2023-03-21
66,Greed,,2023-03-20
63,Greed,,2023-03-19
64,Greed,,2023-03-18
51,Neutral,,2023-03-17
52,Neutral,,2023-03-16
50,Neutral,,2023-03-15
56,Greed,,2023-03-14
49,Neutral,,2023-03-13
33,Fear,,2023-03-12
33,Fear,,2023-03-11
34,Fear,,2023-03-10
44,Fear,,2023-03-09
50,Neutral,,2023-03-08
49,Neutral,,2023-03-07
48,Neutral,,2023-03-06
47,Neutral,,2023-03-05
50,Neutral,,2023-03-04
50,Neutral,,2023-03-03
51,Neutral,,2023-03-02
50,Neutral,,2023-03-01
53,Neutral,,2023-02-28
50,Neutral,,2023-02-27
51,Neutral,,2023-02-26
52,Neutral,,2023-02-25
53,Neutral,,2023-02-24
56,Greed,,2023-02-23
59,Greed,,2023-02-22
60,Greed,,2023-02-21
58,Greed,,2023-02-20
60,Greed,,2023-02-19
60,Greed,,2023-02-18
61,Greed,,2023-02-17
62,Greed,,2023-02-16
53,Neutral,,2023-02-15
50,Neutral,,2023-02-14
48,Neutral,,2023-02-13
50,Neutral,,2023-02-12
49,Neutral,,2023-02-11
48,Neutral,,2023-02-10
55,Greed,,2023-02-09
58,Greed,,2023-02-08
54,Neutral,,2023-02-07
56,Greed,,2023-02-06
58,Greed,,2023-02-05
58,Greed,,2023-02-04
60,Greed,,2023-02-03
60,Greed,,2023-02-02
56,Greed,,2023-02-01
51,Neutral,,2023-01-31
61,Greed,,2023-01-30
55,Greed,,2023-01-29
52,Neutral,,2023-01-28
55,Greed,,2023-01-27
54,Neutral,,2023-01-26
51,Neutral,,2023-01-25
52,Neutral,,2023-01-24
50,Neutral,,2023-01-23
53,Neutral,,2023-01-22
53,Neutral,,2023-01-21
51,Neutral,,2023-01-20
45,Fear,,2023-01-19
52,Neutral,,2023-01-18
51,Neutral,,2023-01-17
45,Fear,,2023-01-16
52,Neutral,,2023-01-15
46,Fear,,2023-01-14
31,Fear,,2023-01-13
30,Fear,,2023-01-12
26,Fear,,2023-01-11
26,Fear,,2023-01-10
25,Extreme Fear,,2023-01-09
25,Extreme Fear,,2023-01-08
25,Extreme Fear,,2023-01-07
26,Fear,,2023-01-06
29,Fear,,2023-01-05
29,Fear,,2023-01-04
26,Fear,,2023-01-03
27,Fear,,2023-01-02
26,Fear,,2023-01-01
25,Extreme Fear,,2022-12-31
28,Fear,,2022-12-30
28,Fear,,2022-12-29
28,Fear,,2022-12-28
27,Fear,,2022-12-27
28,Fear,,2022-12-26
29,Fear,,2022-12-25
29,Fear,,2022-12-24
27,Fear,,2022-12-23
28,Fear,,2022-12-22
26,Fear,,2022-12-21
29,Fear,,2022-12-20
29,Fear,,2022-12-19
26,Fear,,2022-12-18
28,Fear,,2022-12-17
29,Fear,,2022-12-16
31,Fear,,2022-12-15
30,Fear,,2022-12-14
27,Fear,,2022-12-13
27,Fear,,2022-12-12
26,Fear,,2022-12-11
27,Fear,,2022-12-10
26,Fear,,2022-12-09
25,Extreme Fear,,2022-12-08
29,Fear,,2022-12-07
25,Extreme Fear,,2022-12-06
26,Fear,,2022-12-05
26,Fear,,2022-12-04
27,Fear,,2022-12-03
27,Fear,,2022-12-02
27,Fear,,2022-12-01
29,Fear,,2022-11-30
26,Fear,,2022-11-29
28,Fear,,2022-11-28
26,Fear,,2022-11-27
22,Extreme Fear,,2022-11-26
20,Extreme Fear,,2022-11-25
20,Extreme Fear,,2022-11-24
22,Extreme Fear,,2022-11-23
22,Extreme Fear,,2022-11-22
21,Extreme Fear,,2022-11-21
24,Extreme Fear,,2022-11-20
23,Extreme Fear,,2022-11-19
23,Extreme Fear,,2022-11-18
20,Extreme Fear,,2022-11-17
23,Extreme Fear,,2022-11-16
22,Extreme Fear,,2022-11-15
24,Extreme Fear,,2022-11-14
22,Extreme Fear,,2022-11-13
21,Extreme Fear,,2022-11-12
25,Extreme Fear,,2022-11-11
22,Extreme Fear,,2022-11-10
29,Fear,,2022-11-09
31,Fear,,2022-11-08
33,Fear,,2022-11-07
40,Fear,,2022-11-06
38,Fear,,2022-11-05
30,Fear,,2022-11-04
30,Fear,,2022-11-03
30,Fear,,2022-11-02
30,Fear,,2022-11-01
31,Fear,,2022-10-31
34,Fear,,2022-10-30
34,Fear,,2022-10-29
30,Fear,,2022-10-28
32,Fear,,2022-10-27
33,Fear,,2022-10-26
20,Extreme Fear,,2022-10-25
22,Extreme Fear,,2022-10-24
23,Extreme Fear,,2022-10-23
20,Extreme Fear,,2022-10-22
23,Extreme Fear,,2022-10-21
23,Extreme Fear,,2022-10-20
23,Extreme Fear,,2022-10-19
22,Extreme Fear,,2022-10-18
20,Extreme Fear,,2022-10-17
24,Extreme Fear,,2022-10-16
24,Extreme Fear,,2022-10-15
24,Extreme Fear,,2022-10-14
20,Extreme Fear,,2022-10-13
20,Extreme Fear,,2022-10-12
24,Extreme Fear,,2022-10-11
22,Extreme Fear,,2022-10-10
22,Extreme Fear,,2022-10-09
24,Extreme Fear,,2022-10-08
23,Extreme Fear,,2022-10-07
26,Fear,,2022-10-06
25,Extreme Fear,,2022-10-05
20,Extreme Fear,,2022-10-04
24,Extreme Fear,,2022-10-03
24,Extreme Fear,,2022-10-02
20,Extreme Fear,,2022-10-01
21,Extreme Fear,,2022-09-30
22,Extreme Fear,,2022-09-29
20,Extreme Fear,,2022-09-28
20,Extreme Fear,,2022-09-27
21,Extreme Fear,,2022-09-26
24,Extreme Fear,,2022-09-25
24,Extreme Fear,,2022-09-24
20,Extreme Fear,,2022-09-23
22,Extreme Fear,,2022-09-22
23,Extreme Fear,,2022-09-21
23,Extreme Fear,,2022-09-20
21,Extreme Fear,,2022-09-19
27,Fear,,2022-09-18
22,Extreme Fear,,2022-09-17
20,Extreme Fear,,2022-09-16
28,Fear,,2022-09-15
27,Fear,,2022-09-14
34,Fear,,2022-09-13
25,Extreme Fear,,2022-09-12
26,Fear,,2022-09-11
28,Fear,,2022-09-10
22,Extreme Fear,,2022-09-09
20,Extreme Fear,,2022-09-08
24,Extreme Fear,,2022-09-07
22,Extreme Fear,,2022-09-06
23,Extreme Fear,,2022-09-05
20,Extreme Fear,,2022-09-04
21,Extreme Fear,,2022-09-03
25,Extreme Fear,,2022-09-02
20,Extreme Fear,,2022-09-01
23,Extreme Fear,,2022-08-31
27,Fear,,2022-08-30
24,Extreme Fear,,2022-08-29
28,Fear,,2022-08-28
28,Fear,,2022-08-27
27,Fear,,2022-08-26
25,Extreme Fear,,2022-08-25
25,Extreme Fear,,2022-08-24
28,Fear,,2022-08-23
29,Fear,,2022-08-22
27,Fear,,2022-08-21
29,Fear,,2022-08-20
33,Fear,,2022-08-19
30,Fear,,2022-08-18
41,Fear,,2022-08-17
44,Fear,,2022-08-16
45,Fear,,2022-08-15
47,Neutral,,2022-08-14
46,Fear,,2022-08-13
42,Fear,,2022-08-12
41,Fear,,2022-08-11
31,Fear,,2022-08-10
42,Fear,,2022-08-09
30,Fear,,2022-08-08
30,Fear,,2022-08-07
31,Fear,,2022-08-06
31,Fear,,2022-08-05
30,Fear,,2022-08-04
34,Fear,,2022-08-03
31,Fear,,2022-08-02
33,Fear,,2022-08-01
39,Fear,,2022-07-31
42,Fear,,2022-07-30
39,Fear,,2022-07-29
32,Fear,,2022-07-28
28,Fear,,2022-07-27
26,Fear,,2022-07-26
30,Fear,,2022-07-25
30,Fear,,2022-07-24
31,Fear,,2022-07-23
33,Fear,,2022-07-22
34,Fear,,2022-07-21
31,Fear,,2022-07-20
30,Fear,,2022-07-19
20,Extreme Fear,,2022-07-18
24,Extreme Fear,,2022-07-17
21,Extreme Fear,,2022-07-16
15,Extreme Fear,,2022-07-15
18,Extreme Fear,,2022-07-14
15,Extreme Fear,,2022-07-13
16,Extreme Fear,,2022-07-12
22,Extreme Fear,,2022-07-11
24,Extreme Fear,,2022-07-10
24,Extreme Fear,,2022-07-09
20,Extreme Fear,,2022-07-08
18,Extreme Fear,,2022-07-07
18,Extreme Fear,,2022-07-06
19,Extreme Fear,,2022-07-05
14,Extreme Fear,,2022-07-04
11,Extreme Fear,,2022-07-03
14,Extreme Fear,,2022-07-02
11,Extreme Fear,,2022-07-01
11,Extreme Fear,,2022-06-30
13,Extreme Fear,,2022-06-29
10,Extreme Fear,,2022-06-28
12,Extreme Fear,,2022-06-27
14,Extreme Fear,,2022-06-26
14,Extreme Fear,,2022-06-25
11,Extreme Fear,,2022-06-24
11,Extreme Fear,,2022-06-23
11,Extreme Fear,,2022-06-22
9,Extreme Fear,,2022-06-21
9,Extreme Fear,,2022-06-20
6,Extreme Fear,,2022-06-19
6,Extreme Fear,,2022-06-18
9,Extreme Fear,,2022-06-17
7,Extreme Fear,,2022-06-16
7,Extreme Fear,,2022-06-15
8,Extreme Fear,,2022-06-14
11,Extreme Fear,,2022-06-13
14,Extreme Fear,,2022-06-12
12,Extreme Fear,,2022-06-11
13,Extreme Fear,,2022-06-10
11,Extreme Fear,,2022-06-09
17,Extreme Fear,,2022-06-08
15,Extreme Fear,,2022-06-07
13,Extreme Fear,,2022-06-06
10,Extreme Fear,,2022-06-05
14,Extreme Fear,,2022-06-04
10,Extreme Fear,,2022-06-03
13,Extreme Fear,,2022-06-02
17,Extreme Fear,,2022-06-01
16,Extreme Fear,,2022-05-31
10,Extreme Fear,,2022-05-30
14,Extreme Fear,,2022-05-29
13,Extreme Fear,,2022-05-28
12,Extreme Fear,,2022-05-27
12,Extreme Fear,,2022-05-26
11,Extreme Fear,,2022-05-25
12,Extreme Fear,,2022-05-24
10,Extreme Fear,,2022-05-23
14,Extreme Fear,,2022-05-22
